profile;action;auth
full;sys_change_company;X
full;sys_change_password;X
full;sys_preferences;X
full;sys_quit;X
full;sys_companies;X
full;sys_connections;X
full;sys_connections_history;X
full;sys_users;X
full;sys_profiles;X
full;sys_menus;X
full;sys_toolbars;X
full;sys_shortcuts;X
full;sys_reports;X
full;sys_scripting;X
full;sys_customizations;X
full;sys_edit_new;X
full;sys_edit_save;X
full;sys_edit_delete;X
full;sys_edit_reload;X
full;sys_edit_add_child;X
full;sys_edit_add;X
full;sys_edit_remove;X
full;sys_edit_first;X
full;sys_edit_previous;X
full;sys_edit_counter;X
full;sys_edit_next;X
full;sys_edit_last;X
full;sys_edit_filter;X
full;sys_edit_change_view;X
full;sys_edit_print;X
full;sys_edit_export;X
full;help_index;X
full;help_faq;X
full;help_system_info;X
full;help_about;X
full;help_about_qt;X
default;sys_change_company;X
default;sys_change_password;X
default;sys_preferences;X
default;sys_quit;X
default;sys_edit_new;X
default;sys_edit_save;X
default;sys_edit_delete;X
default;sys_edit_reload;X
default;sys_edit_add;X
default;sys_edit_add_child;X
default;sys_edit_remove;X
default;sys_edit_first;X
default;sys_edit_previous;X
default;sys_edit_counter;X
default;sys_edit_next;X
default;sys_edit_last;X
default;sys_edit_filter;X
default;sys_edit_change_view;X
default;sys_edit_print;X
default;sys_edit_export;X
default;help_index;X
default;help_faq;X
default;help_system_info;X
default;help_about;X
default;help_about_qt;X
full;app_file_printers;X
full;app_file_departments;X
full;app_file_tables;X
full;app_file_items;X
full;app_file_price_list;X
full;app_file_events;X
full;app_file_web_orders;X
full;app_file_orders;X
full;app_file_settings;X
full;app_activities_orders;X
full;app_activities_stock_inventory;X
full;app_activities_order_progress;X
full;app_activities_stock_unload;X
full;app_activities_income_summary;X
full;app_statistics_sales;X
full;app_statistics_consumption;X
full;app_statistics_export;X
full;app_utilities_delete_orders;X
full;app_utilities_unloads_rebuild;X
full;app_utilities_numbering_rebuild;X
full;app_utilities_mark_as_processed;X
default;app_file_printers;R
default;app_file_departments;R
default;app_file_tables;X
default;app_file_items;X
default;app_file_price_list;X
default;app_file_events;R
default;app_file_web_orders;X
default;app_file_orders;X
default;app_file_settings;R
default;app_activities_orders;X
default;app_activities_stock_inventory;X
default;app_activities_order_progress;X
default;app_activities_stock_unload;X
default;app_activities_income_summary;X
default;app_statistics_sales;R
default;app_statistics_consumption;X
default;app_statistics_export;X
default;app_utilities_delete_orders;X
default;app_utilities_unloads_rebuild;X
default;app_utilities_numbering_rebuild;X
default;app_utilities_mark_as_processed;X
